
==========Welcome to the Peg Solirtaire Simulator==========
              2026 AI 801 Section 001: Group 5

SHALL WE PLAY A GAME?
1. Simulate Peg Solitaire
2. Simulate Peg Duotaire
3. Run Test Bench
4. User Plays Peg Duotaire
5. Launch GUI
Your choice: Running Test Bench...
Select test type: 
1. Compare Performance of Search Algorithms
2. Compare Performance of Game Algorithms
3. Compare Performance of Dict and Bitmask Data Structures
4. Compare Performance of Different Direction Orders

depth_first_bfs on Triangle board
   1.81 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Northwest', 'Southwest', 'Southeast', 'Northeast']
   1.85 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Northwest', 'Southwest', 'Northeast', 'Southeast']
   1.84 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Northwest', 'Northeast', 'Southeast', 'Southwest']
   1.83 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Northwest', 'Northeast', 'Southwest', 'Southeast']
   1.84 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'East', 'Southwest', 'Northeast', 'Northwest']
   1.85 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'East', 'Southwest', 'Northwest', 'Northeast']
   1.82 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'East', 'Northeast', 'Southwest', 'Northwest']
   1.84 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'East', 'Northeast', 'Northwest', 'Southwest']
   1.84 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'East', 'Northwest', 'Southwest', 'Northeast']
   1.81 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'East', 'Northwest', 'Northeast', 'Southwest']
   1.86 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'Southwest', 'East', 'Northeast', 'Northwest']
   1.83 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'Southwest', 'East', 'Northwest', 'Northeast']
